label,text
1,本次入住黎明国际酒店，总体感觉不错。原来对东北地区的服务水平有不太好的影像，这次入住，无论是前台，还是楼层服务员均热情和蔼，有求必应。只是作为一家五星级酒店，上网还要收费，不太理解。本次入住上网了，但结帐时忘了付费，不太好意思（20元），如下次还能入住，一定给补上。
1,之前就听说苏州万丽是苏州生意最好，房价最高，也是业内人士最推崇的酒店，远胜于喜来登，香格里拉，索菲特，在苏州属于一枝独秀型的，平时房间非常的难定，几乎天天满房，这次好不容易定了个行政套，本打算住一天，后又延了一天，简单来说吧，房间不大但很温馨，酒店工作人员不多但都非常专业，亲切，严格意义上来说该酒店硬件并不突出，没有游泳池，没有特色餐厅，建筑也没有什么特色，处处透露着简单，适用，大气，但是只有你住了以后才会觉得，值！。。。。。。。还记得苏州迷宫喜来登的恐怖经历，差点把我绕死。。。。。。。。。。。。。下次只要有房间，肯定住他。
1,在北京CBD，还能找到300多元钱的套房式酒店真的太难了，房间干净、舒适，网线电脑都免费使用，客厅很大，可以招待朋友或商议事情！像我们这样经常在外出差的人能找到一家这样高型价比的酒店还真不容易！建议大家亲身感受一下再做评论！我的朋友都非常满意！
1,如果不是太西化，不建议住这儿，房间较小，有些旧，用具都还不错。服务应该说还不错，反应也快。但太偏了，丽江到香格里拉已是晚上，司机用了毛骨悚然来形态，呵呵。
1,"酒店的外部环境很好,绿树成荫,楼与楼之间有点远,不过这才是别墅的特色,去餐厅有一点点远(我们住5号楼),大概要步行7,8分钟,但是很有散步的乐趣,餐厅的菜不错,价格也可以,红烧肉很好吃(38元一份),土鸡一般.早餐15元也算比较值了,蒸饺和炒面味道都不错.房间有点旧,不过作为三星也算是正常了,套房就是有个厅,但是床是小床,不是很喜欢还有现在搞活动所谓用餐消费满100送30元抵用券,实在不过是个噱头,有非常多的限制,满心欢喜以为可以抵一些房费或者早餐,但最终均被告知不可以,只可以租用网球场,乒乓室什么的,因没有使用,所以不知道真去换的时候是否又有别的限制.总之来说还是去佘山值得入住的酒店."
1,"住了美居.环境很好.服务很好,下次去一定还住~~~唯一不足的就是洗浴的时候水温不是很稳定."
1,不错，在普宁寺旁边，有特色。服务员态度特别好，很亲切，都穿藏服。
1,"非常不错,下次还住这里,环境非常好,服务也不错"
1,"因为是蜜月旅行,所以酒店免费将园景房升级到5层的超级海景房，可以看到美丽的维多利亚湾，而且还有一瓶好酒相送。房间很干净，也很大，酒店服务也不错。虽然酒店不在市中心，但酒店的班车很方便，每半个小时一般往返尖沙嘴。其实，从酒店出去，就有sasa和bodyshop，也有一个购物中心，到达的第一天，就可以进行简单购物了。"
1,"服务态度很好。入住后虽然发生了一件不是很令人愉快的事情,但是由于大堂经理及时的、出人意外的处理方式,让这次的入住有了特别美好的回忆,以后有机会还会选择瑞吉红塔的。"
